Ejercicio fiscal,Nombre de la Oficina,Tipo de Ocupacion,Calle,Numero,Colonia,Codigo Postal,Clave Municipio,Municipio,Clave Estado,Estado
2016,Subdelegacion de Pesca Aguscalientes,Subdelegacion de Pesca,Avenida de la Convencion Norte,2202,Buenos Aires,20020,1,Aguascalientes,1,Aguascalientes
2016,Subdelegacion de Pesca Baja California,Subdelegacion de Pesca,11 y Avenida Espinoza,1340,Obrera,22830,1,Ensenada,2,Baja California 
2016,Subdelegacion de Pesca Baja California Sur,Subdelegacion de Pesca,Agricultura entre Calle Mexico y Calle Durango,Sin Numero,Emiliano Zapata,23070,3,La Paz,3,Baja California Sur
2016,Subdelegacion de Pesca Campeche,Subdelegacion de Pesca,Gobernadores Esquina Avenida Heroes de Nacozari,291,Santa Lucia,24020,2,Campeche,4,Campeche
2016,Subdelegacion de Pesca Chiapas,Subdelegacion de Pesca,Tuxtla Gutierrez Chicoasen,S/N,Los Laguitos,29020,101,Tuxtla Gutierrez,5,Chiapas 
2016,Subdelegacion de Pesca Chihuahua,Subdelegacion de Pesca,Juan Pablo II,4505,Sector Industrial Robinson,31370,19,Chihuahua,6,Chihuahua
2016,Subdelegacion de Pesca Coahuila,Subdelegacion de Pesca,Central 57 MÇxico-Matehuala,Sin Numero,El Sauz,25294,30,Saltillo,7,Coahuila de Zaragoza
2016,Subdelegacion de Pesca Colima,Subdelegacion de Pesca,Medellin,560,Popular,28070,2,Colima,8,Colima
2016,Subdelegacion de Pesca Durango,Subdelegacion de Pesca,Francisco Villa,5025,Ciudad Industrial,34208,5,Durango,10,Durango
2016,Subdelegacion de Pesca Guanajuato,Subdelegacion de Pesca,Irrigaci¢n,sin numero,Monte de Camargo,38030,7,Celaya,11,Guanajuato
2016,Subdelegacion de Pesca Guerrero,Subdelegacion de Pesca,Miguel Aleman,315,Centro,39300,1,Acapulco de Ju†rez,12,Guerrero
2016,Subdelegacion de Pesca Hidalgo,Subdelegacion de Pesca,Carretera Pachuca Tulancingo,Sin Numero,Felipe Angeles,42090,48,Pachuca de Soto,13,Hidalgo
2016,Subdelegacion de Pesca Jalisco,Subdelegacion de Pesca,Carretera a Chapala,655,Alamo Oriente,45560,39,Tlaquepaque,14,Jalisco
2016,Subdelegacion de Pesca Estado de Mexico,Subdelegacion de Pesca,Carretera Toluca Zitacuaro,KM 4.5,Los Angeles,51350,118,Zinancantepec,15,Mexico
2016,Subdelegacion de Pesca Michoacan,Subdelegacion de Pesca,Avenida Ventura,359,Chapultepec Norte,58260,53,Morelia,16,Michoacan de Ocampo
2016,Subdelegacion de Pesca Morelos,Subdelegacion de Pesca,Avenida Universidad Planta Baja,5,Santa Mar°a Ahuacatitlan,62100,7,Cuernavaca,17,Morelos
2016,Subdelegacion de Pesca Nayarit,Subdelegacion de Pesca,Insurgentes Oriente,1050,Ciudad del Valle,63157,17,Tepic,18,Nayarit
2016,Subdelegacion de Pesca Nuevo Leon,Subdelegacion de Pesca,Carretera Monterrey Laredo,Sin Numero,Nueva Castilla,66052,19,General Escobedo,19,Nuevo Leon
2016,Subdelegacion de Pesca Oaxaca,Subdelegacion de Pesca,Juan De Dios Batiz,109,Vicente Suarez,68156,67,Oaxaca de Juarez,20,Oaxaca
2016,Subdelegacion de Pesca Puebla,Subdelegacion de Pesca,26 Norte,1202,humboldt,72370,114,Puebla,21,Puebla
2016,Subdelegacion de Pesca Queretaro,Subdelegacion de Pesca,Constituyentes,201,Lomas de Queretaro,76190,14,Queretaro,22,Queretaro
2016,Subdelegacion de Pesca Quintana Roo,Subdelegacion de Pesca,Carretera Chetumal Bacalar,Sin Numero,Fovisste Qunta Etapa,77049,4,Othon P. Blanco,23,Quintana Roo
2016,Subdelegacion de Pesca San Luis Potosi,Subdelegacion de Pesca,Jesus Goytortua,136,Tangamanga,78260,28,San Luis Potosi,24,San Luis Potosi
2016,Subdelegacion de Pesca Sinaloa,Subdelegacion de Pesca,Carretera a Navolato,Sin Numero,Bachigualato,80140,6,Culiacan,25,Sinaloa
2016,Subdelegacion de Pesca Sonora,Subdelegacion de Pesca,Boulevard Luis Encinas Jhonson,399,Coloso,83040,12,Hermosillo,26,Sonora
2016,Subdelegacion de Pesca Tabasco,Subdelegacion de Pesca,Teapa,Sin Numero,Prados de Villahermosa,86030,4,Centro,27,Tabasco
2016,Subdelegacion de Pesca Tamaulipas,Subdelegacion de Pesca,Hidalgo,5004,Sierra Morena,89210,38,Tampico,28,Tamaulipas
2016,Subdelegacion de Pesca Tlaxcala,Subdelegacion de Pesca,Libramiento Poniente 2,Sin Numero,Unitlac,90000,33,Tlaxcala,29,Tlaxcala
2016,Subdelegacion de Pesca Veracruz,Subdelegacion de Pesca,5 de Mayo,Sin Numero,Centro,91700,193,Veracruz,30,Veracruz de Ignacio de la Llave
2016,Subdelegacion de Pesca Yucatan,Subdelegacion de Pesca,2 A Por Calle 1,401,Diaz Ordaz,97130,50,Merida,31,Yucatan
2016,Subdelegacion de Pesca Zacatecas,Subdelegacion de Pesca,Secretaria de la Defensa Nacional,88,Centro Guadalupe,98000,56,Zacatecas,32,Zacatecas
2016,Centro Acuicola Pabellon de Hidalgo,Centro Acuicola,Domicilio Conocido,Sin Numero,Pabellon de Hidalgo,20400,7,Rincon de Romos,1,Aguascalientes
2016,Oficina Federal de Pesca San Felipe,Oficina de Pesca,"Central Poniente 1, zona de puerto B",Sin Numero,Recinto Portuario,21850,2,San Felipe,2,Baja California
2016,Oficina Federal de Pesca El Rosario,Oficina de Pesca,Domicilio Conocido,Sin Numero,"Carretera Transpeninsular, Ensenada-La Paz",22960,1,Ensenada,2,Baja California
2016,Oficina Federal de Pesca Isla de Cedros,Oficina de Pesca,Domicilio Conocido,Sin Numero,Isla de Cedros,22990,1,Ensenada,2,Baja California
2016,Oficina Federal de Pesca Adolfo Lopez Mateos,Oficina de Pesca,General Mariano Salas Lote 1 Manzana 101,Sin Numero,Sin Colonia,23600,1,Comondu,3,Baja California Sur
2016,Oficina Federal de Pesca Santa Rosalia,Oficina de Pesca,Carretera Transpeninsular Kilometro 196 500 Tramo de Loreto  Santa Rosalia,Sin Numero,Centro,23920,2,mulege,3,Baja California Sur
2016,Oficina Federal de Pesca Guerrero Negro,Oficina de Pesca,Boulevard Emiliano Zapata,Sin Numero,loma bonita,23940,2,Guerrero Negro,3,Baja California Sur
2016,Oficina Federal de Pesca Punta Abre Ojos,Oficina de Pesca,Domicilio Conocido,Sin Numero,punta abre ojos,23970,2,mulege,3,Baja California Sur
2016,Oficina Federal de Pesca Puerto San Carlos,Oficina de Pesca,Domicilio Conocido ,Sin Numero,San Carlos,23740,1,Comond£,3,Baja California Sur
2016,Oficina Federal de Pesca Bahia tortugas,Oficina de Pesca,Prolongacion Marina Nacional,Sin Numero,Domicilio Conocido,23950,2,Mulege,3,Baja California Sur
2016,Oficina Federal de Pesca Isla Arena,Oficina de Pesca,Principal ,Sin Numero,Comunidad Isla Arena,24919,1,Calkini,4,Campeche
2016,Oficina Federal de Pesca Sabancuy,Oficina de Pesca,Constitucion por Marina,17,Guadalupe,24300,3,Carmen,4,Campeche
2016,Oficina Federal de Pesca Isla Aguada,Oficina de Pesca,Marina,Sin Numero,Poblado Isla Aguada,24327,3,Carmen,4,Campeche
2016,Centro Acuicola La Boquilla,Centro Acuicola ,Carretera Interoceanica Saltillo Torreon,Sin Numero,Poblado Boquilla de Conchos,25950,11,San Francisco de Conchos,8,Chihuahua
2016,Centro Acuicola La Rosa,Centro Acuicola ,Presa Derivadora Gregorio Torres Quintero,Sin Numero,Poblado La Rosa,28910,9,General Cepeda,5,Coahuila de Zaragoza
